"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","Authentication Register","ERROR","2022-12-23T19:04:10.6878931+07:00[Asia/Bangkok]","0.0","841.13"
"Authentication","Authentication Login","ERROR","2022-12-23T19:18:11.8846487+07:00[Asia/Bangkok]","0.0","358.36"
"Authentication","Authentication Login Lupa Kata Sandi","ERROR","2022-12-23T19:24:10.3147301+07:00[Asia/Bangkok]","0.0","266.05"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek BNI","ERROR","2022-12-23T19:28:36.5549092+07:00[Asia/Bangkok]","0.0","32.93"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek BRI","ERROR","2022-12-23T19:29:09.520628+07:00[Asia/Bangkok]","0.0","33.84"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek BCA","ERROR","2022-12-23T19:29:43.4640785+07:00[Asia/Bangkok]","0.0","41.28"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek Mandiri","ERROR","2022-12-23T19:30:24.7798326+07:00[Asia/Bangkok]","0.0","44.49"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek BSI","ERROR","2022-12-23T19:31:09.2967074+07:00[Asia/Bangkok]","0.0","49.47"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek Jenius","ERROR","2022-12-23T19:31:58.9491601+07:00[Asia/Bangkok]","0.0","49.07"
"Pay Transaksi with Rek Bank","Pay transaksi status Menunggu Konfirmasi with Rek CIMB","ERROR","2022-12-23T19:32:48.6223824+07:00[Asia/Bangkok]","0.0","40.56"
"Pay Transaksi with Virtual Akun","Pay transaksi status Menunggu Konfirmasi with BNI VA","ERROR","2022-12-23T19:33:29.2377171+07:00[Asia/Bangkok]","0.0","30.04"
"Pay Transaksi with Virtual Akun","Pay transaksi status Menunggu Konfirmasi with BCA VA","ERROR","2022-12-23T19:33:59.3099885+07:00[Asia/Bangkok]","0.0","28.78"
"Pay Transaksi with Virtual Akun","Pay transaksi status Menunggu Konfirmasi with BRI VA","ERROR","2022-12-23T19:34:28.1117824+07:00[Asia/Bangkok]","0.0","27.92"
"Pay Transaksi with Virtual Akun","Pay transaksi status Menunggu Konfirmasi with Mandiri VA","ERROR","2022-12-23T19:34:56.0505686+07:00[Asia/Bangkok]","0.0","28.52"
"Pay Transaksi with Virtual Akun","Pay transaksi status Menunggu Konfirmasi with CIMB VA","ERROR","2022-12-23T19:35:24.5847625+07:00[Asia/Bangkok]","0.0","39.3"
"Bill page","See all Transaksi","ERROR","2022-12-23T19:36:04.4450934+07:00[Asia/Bangkok]","0.0","42.6"
"Bill page","See transaksi status Gagal","ERROR","2022-12-23T19:36:47.116663+07:00[Asia/Bangkok]","0.0","31.63"
"Bill page","See transaksi status Dalam Proses","ERROR","2022-12-23T19:37:18.7764574+07:00[Asia/Bangkok]","0.0","30.71"
"Bill page","See transaksi status Menunggu Konfirmasi","ERROR","2022-12-23T19:37:49.506378+07:00[Asia/Bangkok]","0.0","26.32"
"Bill page","See all Selesai","ERROR","2022-12-23T19:38:15.9065379+07:00[Asia/Bangkok]","0.0","28.05"
